"/QB (Corner=FF,modelFiles=PMOS_VTL.inc,NMOS_VTL.inc) X","/QB (Corner=FF,modelFiles=PMOS_VTL.inc,NMOS_VTL.inc) Y","/QB (Corner=FS,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) X","/QB (Corner=FS,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) Y","/QB (Corner=SF,modelFiles=PMOS_VTL.inc,NMOS_VTL.inc) X","/QB (Corner=SF,modelFiles=PMOS_VTL.inc,NMOS_VTL.inc) Y","/QB (Corner=SS,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) X","/QB (Corner=SS,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) Y","/QB (Corner=TT,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) X","/QB (Corner=TT,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) Y","/Q (Corner=FF,modelFiles=PMOS_VTL.inc,NMOS_VTL.inc) X","/Q (Corner=FF,modelFiles=PMOS_VTL.inc,NMOS_VTL.inc) Y","/Q (Corner=FS,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) X","/Q (Corner=FS,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) Y","/Q (Corner=SF,modelFiles=PMOS_VTL.inc,NMOS_VTL.inc) X","/Q (Corner=SF,modelFiles=PMOS_VTL.inc,NMOS_VTL.inc) Y","/Q (Corner=SS,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) X","/Q (Corner=SS,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) Y","/Q (Corner=TT,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) X","/Q (Corner=TT,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) Y"
0.8800000000000004,0.004856514871503229,0.8800000000000004,0.001409063589982003,0.8800000000000004,0.005300848777677046,0.8800000000000004,0.00153745536487786,0.8800000000000004,0.002799851591861931,0.8800000000000004,0.8800000000000004,0.8800000000000004,0.8800000000000004,0.8800000000000004,0.8800000000000004,0.8800000000000004,0.8800000000000004,0.8800000000000004,0.8800000000000004
0.9020000000000005,0.003411634503353389,0.9020000000000005,0.0009001398356818057,0.9020000000000005,0.003711611145826903,0.9020000000000005,0.0009788526357550481,0.9020000000000005,0.00186262126008613,0.9020000000000005,0.9020000000000005,0.9020000000000005,0.9020000000000005,0.9020000000000005,0.9020000000000005,0.9020000000000005,0.9020000000000005,0.9020000000000005,0.9020000000000005
0.9240000000000005,0.002313624118103984,0.9240000000000005,0.0005620633660219248,0.9240000000000005,0.002509533041869961,0.9240000000000005,0.0006091962764844763,0.9240000000000005,0.001202419710756512,0.9240000000000005,0.9240000000000005,0.9240000000000005,0.9240000000000005,0.9240000000000005,0.9240000000000005,0.9240000000000005,0.9240000000000005,0.9240000000000005,0.9240000000000005
0.9460000000000005,0.001518434865236085,0.9460000000000005,0.0003445045028959965,0.9460000000000005,0.001642398487652757,0.9460000000000005,0.000372111033311823,0.9460000000000005,0.0007566063387238931,0.9460000000000005,0.9460000000000005,0.9460000000000005,0.9460000000000005,0.9460000000000005,0.9460000000000005,0.9460000000000005,0.9460000000000005,0.9460000000000005,0.9460000000000005
0.9680000000000005,0.0009684585314034635,0.9680000000000005,0.0002079890476842234,0.9680000000000005,0.001044679576088377,0.9680000000000005,0.0002237784044811589,0.9680000000000005,0.0004661600646135912,0.9680000000000005,0.9680000000000005,0.9680000000000005,0.9680000000000005,0.9680000000000005,0.9680000000000005,0.9680000000000005,0.9680000000000005,0.9680000000000005,0.9680000000000005
0.9900000000000005,0.0006032065010756633,0.9900000000000005,0.000124070462359586,0.9900000000000005,0.0006488802672610101,0.9900000000000005,0.0001328247359548367,0.9900000000000005,0.000282320184460257,0.9900000000000005,0.9900000000000005,0.9900000000000005,0.9900000000000005,0.9900000000000005,0.9900000000000005,0.9900000000000005,0.9900000000000005,0.9900000000000005,0.9900000000000005
1.012,0.0003686395342822816,1.012,7.340486202236015e-05,1.012,0.000395346197865317,1.012,7.802315625575278e-05,1.012,0.0001686319810256639,1.012,1.012,1.012,1.012,1.012,1.012,1.012,1.012,1.012,1.012
1.034,0.0002220276133630587,1.034,4.332832411546867e-05,1.034,0.0002372320178957054,1.034,4.553555388258932e-05,1.034,9.970039655558311e-05,1.034,1.034,1.034,1.034,1.034,1.034,1.034,1.034,1.034,1.034
1.056,0.0001324367892492261,1.056,2.576565339232145e-05,1.056,0.000140792427097348,1.056,2.657044273439066e-05,1.056,5.864784019568723e-05,1.056,1.056,1.056,1.056,1.056,1.056,1.056,1.056,1.056,1.056
1.078000000000001,7.877758841230402e-05,1.078000000000001,1.567767733033414e-05,1.078000000000001,8.3111239309571e-05,1.078000000000001,1.565957735650041e-05,1.078000000000001,3.460905447201338e-05,1.078000000000001,1.078000000000001,1.078000000000001,1.078000000000001,1.078000000000001,1.078000000000001,1.078000000000001,1.078000000000001,1.078000000000001,1.078000000000001
1.1,4.723216154583378e-05,1.1,9.980912864788554e-06,1.1,4.922347490400365e-05,1.1,9.466687325872984e-06,1.1,2.075524166012833e-05,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1
